Marque;Modèle;Prix;Carburant;Chevaux;Type_moteur;Cylindrée;CO2;KM;Année;Transmission;Puissance;Puissance_fiscale
CITROEN;C3;18990;Essence M;83;PureTech;1.2;122;41095;2021;Automatique;61.0465;5.152971111111111
PEUGEOT;2008;15299;Essence;130;BlueHDi;1.5;125;74776;2020;Manuelle;95.61500000000001;6.602377777777778
CITROEN;C3;18499;Essence;110;PureTech;1.2;132;81262;2020;Manuelle;80.905;6.169533333333334
PEUGEOT;208;18999;Essence;100;PureTech;1.2;118;20485;2022;Manuelle;73.55000000000001;5.564222222222223
DACIA;Duster;13799;Essence;100;TCe;1.0;121;74725;2020;Manuelle;73.55000000000001;5.63088888888889
CITROEN;C3;19990;Essence;110;PureTech;1.2;123;19119;2022;Automatique;80.905;5.969533333333334
CITROEN;C3;19490;Essence;83;PureTech;1.2;122;48949;2021;Automatique;61.0465;5.152971111111111
PEUGEOT;208;19799;HYBRIDE;100;PureTech;1.2;118;43140;2021;AUTOMATIQUE;73.55000000000001;5.564222222222223
RENAULT;Captur;34778;Electrique;90;TCe;0.9;114;12810;2021;Automatique;66.19500000000001;5.181133333333333
DACIA;Duster;13499;Essence;115;Blue;1.5;108;13124;2020;Manuelle;84.58250000000001;5.7833000000000006
CITROEN;C3;17999;Electrique;83;PureTech;1.2;122;41008;2021;Automatique;61.0465;5.152971111111111
PEUGEOT;208;19189;Diesel;100;PureTech;1.2;118;53937;2020;Automatique;73.55000000000001;5.564222222222223
PEUGEOT;3008;21799;Essence;130;PureTech;1.2;109;57229;2019;Automatique;95.61500000000001;6.246822222222223
CITROEN;C3;13999;Essence;83;PureTech;1.2;122;27713;2021;Manuelle;61.0465;5.152971111111111
PEUGEOT;208;16499;Essence;100;PureTech;1.2;118;22131;2021;Automatique;73.55000000000001;5.564222222222223
CITROEN;C3;32799;Essence;110;PureTech;1.2;132;12478;2021;Automatique;80.905;6.169533333333334
PEUGEOT;2008;16499;Diesel;130;BlueHDi;1.5;125;32410;2019;Manuelle;95.61500000000001;6.602377777777778
PEUGEOT;208;28499;ESSENCE;100;PureTech;1.2;118;21250;2022;AUTOMATIQUE;73.55000000000001;5.564222222222223
